Date,Description,Reference/Transaction_ID,Debit,Credit,Balance,Category
2025-03-05,OPENING BALANCE,,Nil,,200.00,Opening/Closing Balance
2025-03-06,Fast Transfer From MRS LISA J GRANT,,,$200.00,$200.00,Transfer
2025-03-10,Transfer from xx8509 CommBank app,,,$75.79,$275.79,Bill
2025-03-11,WWW.9ROUND* WWW.9ROUND,,98.00,,$177.79,Fitness
2025-03-11,Fast Transfer From MR BEN & MISS EVELYN,,,$1,100.00,$1,277.79,Transfer
2025-03-13,JB HIFI MOBILE SOUTHBANK AUS,,59.00,,$1,218.79,Electronics
2025-03-13,Fast Transfer From MR BEN & MISS EVELYN,,,$2,294.31,$3,513.10,Transfer
2025-03-13,Direct Credit 480392 UNITINGCARE WEST,,,$1,500.00,$5,013.10,Credit
2025-03-15,POST KARAWARA LPO WA AU,,290.42,,$4,722.68,Postal
2025-03-17,OFFICEWORKS 0623 BELMONT AU,,18.80,,$4,703.88,Office Supplies
2025-03-17,Transfer from BEN GREENWAY NetBank,,,$20,000.00,$24,703.88,Transfer
2025-03-18,COLES 0356COLES 0356 KARAWARA 06 AUS,,79.00,,$24,624.88,Groceries
2025-03-18,Refund Purchase LEACH LEGAL P/L PERTH WA AU,,$748.00,$25,372.88,Refund
2025-03-19,OFFICEWORKS 0623OFFICE BELMONT 06 AUS,,94.00,,$25,278.88,Office Supplies
2025-03-20,GIN SUSHIYA PTY LTDGIN SUPERTH AU,,8.10,,$25,270.78,Food
2025-03-20,GENERAL PANTS PERTH AU,,62.99,,$25,207.79,Clothing
2025-03-21,EMPOWERMENT ADVENTURE,,101.00,,$25,106.79,Entertainment
2025-03-21,Return OFFICEWORKS 0601OFFICE E VICTORIA,,,$653.60,$25,760.39,Return
2025-03-21,MCDONALDS E/VCTRIA PK EAST VICTORIAWA AU,,5.00,,$25,755.39,Food
2025-03-21,Transfer To JAMES RYAN BOND,,100.00,,$25,655.39,Transfer
2025-03-21,WWW.ALHGROUP.COM* ME&U,,61.90,,$25,593.49,Online
2025-03-22,DEPT OF JUSTICE-CTG PA PERTH AUS,,145.00,,$25,448.49,Legal Fee
2025-03-22,SQ *LITTLE ANGELO South Perth AU,,15.00,,$25,433.49,Food
2025-03-22,COLES 0296 Angelo StreetAU,,21.55,,$25,411.94,Groceries
2025-03-22,LIVEHOCKEY.COM.AU,,11.00,,$25,400.94,Entertainment
2025-03-23,The Rowing Pavilion Mount PleasanAU,,17.50,,$25,383.44,Food
2025-03-23,SQ *DOUBLE SHOTZ East Victoria AU,,5.61,,$25,377.83,Cafe
2025-03-23,THE TRUSTEE FOR EVP EAST VICTORIAWA AU,,12.45,,$25,365.38,General Purchase
2025-03-24,AAA PERTH LOCKSMITHS LEEMING AU,,200.00,,$25,165.38,Service
2025-03-24,MCDONALDS GOSNELLS GOSNELLS WA AU,,5.40,,$25,159.98,Food
2025-03-24,CELLARBRATIONS VIC P EAST VICTORI AU,,28.20,,$25,131.78,Alcohol
2025-03-25,TUCKER FRESH EXCHANG BENTLEY WA AUS,,9.39,,$25,122.39,Food
2025-03-25,OFFICEWORKS 0601 EASTO EA AU AUS,,1.90,,$25,120.49,Office Supplies
2025-03-25,OFFICEWORKS 0601 EASTO EA AU AUS,,8.90,,$25,111.59,Office Supplies
2025-03-25,COLES 0340COLES 0340 E VICTORIA PK 06 AU,,60.60,,$25,050.99,Groceries
2025-03-25,WWW.9ROUND* WWW.9ROUND,,98.00,,$24,952.99,Fitness
